start	end	text
0	13880	hey hey what's up beautiful people mike again so today we are going to be connecting the dots
13880	17820	i guess you can say uh we went over some of the fundamentals we went over theory
17820	24240	we've gone over even touching on um starting the basics of what ai ai automation is and what
24240	29060	workflows are we've started to map out a couple of things and now what i want to do is try to help
29060	36600	you connect the dots of thinking ai first so we thought in theory we have mapped out the workflows
36600	42100	we have gotten all of the preliminary things of how we should start thinking
42100	51680	right now is connecting those dots it is how do i think ai first with everything because if you're
51680	53840	not i can tell you you're just
53840	66020	if you're not thinking ai first that's a problem what people are really overlooking is chat gpt or
66020	70900	google gemini or claude or whatever it is there's
70900	83700	if you're serious about your brand or your business or your side hustle and you're really
83700	87120	trying to scale you really need to be thinking ai first
87120	99300	ai should be your first hire or your next hire it shouldn't be an afterthought it shouldn't be
99300	106780	how do i in a roundabout way incorporate ai into my business every single step ai should be baked
106780	116260	into your business the number one reason why is because every single business and industry type is
116260	121560	going to be impacted by ai whether it's six months from now a year from now two years from now
121560	128140	the complexity and the changes of the foundation of what ai is is going to change
128140	141760	if you're not thinking about ai first in every single strategy or system that you're implementing
141760	148660	you're just simply doing it wrong think about it like this people are still using chat gpt or
148660	154740	google gemini or whatever llm model sort of like google they're going to google they ask a question even
154740	163700	google answers with ai and that is just a very basic way to use it you have to understand that
163700	172140	all of these models they are phd level or above and literally every single human knowledge topic that
172140	182540	we have it is the world's knowledge that is synthesized down to easy to understand chunks prompt it
182540	188380	ask it a question it'll actually give you an answer so that's the basic and fundamental part of it
188380	199160	now where we start to connect the dots are using chat gpt every day incorporating ai somehow in your
199160	206680	everyday tasks not just with your systems but also with how you ideate things this isn't to have
206680	215720	chat gpt or anything replace your thinking it's to be the human plus ai tool combination that allows
215720	220120	you to expand and scale way faster and way further than any other combination period
227400	231320	think about it for what is holding most of us back it isn't
231320	240360	think about it for what is holding most of us back it isn't actually
253560	260760	the goal here isn't to try to only buy back your time or to add more hours in your day or work longer
260760	269960	longer or hustle harder the goal here isn't only to buy back your time or find a couple more hours
269960	275480	in your day to hustle harder it is actually to start thinking ai first and connect the dots
275480	278360	so that you have systems that work for you 24 7.
278360	296280	so this is where you have expansion you have your theory you have all of your work for workflows or
296280	301960	most of them mapped out or even just start with one single workflow you start to connect the dots for
301960	303720	expansion by doing exactly this
311800	316200	this is where you start linking your patterns and your thoughts and your workflow
316760	323880	and your systems together through ai through your agents through your projects through your llms
323880	330680	that's how you expand that's how you buy back even more of your time but not only that it also creates
331400	345080	a stronger team all around you whether it's sales or marketing rev ops or whatever
345080	349400	your company you can use your software you can use your software you can use your software you can use
349400	351640	your software you can use your software you can use your software you can use your software
351640	356280	when you start linking your systems together and you have ai orchestrating all of it
357080	363560	that puts all of that knowledge in one place so that anybody can actually access it whether it's
363560	366280	sales or marketing or whatever division of your company
366280	375000	it's actually about building leverage so that you don't have to have all of this information scattered
375000	375880	all over the place
382760	389160	that leverage actually helps you multiply your efforts across teams across your organization and then
389160	394280	everybody's on the same page working toward the same exact vision and that's where the clarity comes in
394280	399240	and then the speed to which you actually get to an mvp or you go to market or you start to hit those
399240	413160	growth scaling numbers that you actually want for the next quarter or for that year
413160	420120	you start to hit those things and then you start to hit those things and then you start to hit those
420120	421080	things and then you start to hit those things and then you start to hit those things and then you start
421080	422200	to hit those things and then you start to hit those things and then you start to hit those things
422200	424200	and then you start to hit those things and then you start to hit those things and then you start to hit those things
424200	426200	and then you start to hit those things and then you start to hit those things and then you start to hit those things
426200	428200	and then you start to hit those things and then you start to hit those things and then you start to hit those things
428200	442200	your first hire or your very first assistant not a virtual assistant or an in-person assistant or an executive assistant your very first hire or your very first assistant should be AI
444520	456200	pick whichever one you want most if not all of them can actually be downloaded on your phone and they actually are free they're going to be limitations if you don't pay for the pro plan or the max plans but at the same token you have a lot of information at your fingertips for free
456200	460200	all you have to do is just download it on your phone
464200	478200	and the second part is one of two ways if you have an organization with you know small to medium teams whether it's 10 20 30 40 or 50 people it's not about getting rid of those people it's about helping those people
478200	506200	the second part is as a business owner is overhead there's a lot of people that are afraid oh i'm going to lose my job to ai or ai is going to take over x y and z and sure that might be the case for some people and a lot of industries but if you're a business owner and you have 10 or 20 or 30 people or even more on your team it's not about getting rid of those people or axing them it is about helping them
506200	518200	also incorporate ai into their day to day because that means another human plus ai as a tool coming together and it makes them stronger which makes your team stronger which makes everybody smarter
518200	532200	smarter and then when you 2x or 3x or 5x somebody's productivity because you have workflows in place you have systems in place and you have your entire organization working from an ai first mindset that's where expansion comes in
532200	560200	and this is the best part of it all this is where it starts to compound when you have everybody thinking ai first they consult with ai all standard operating procedures are in one consolidated knowledge base and then you have workflows and things that orchestrate and automate repeated things you can do awesome things
560200	568200	quick story so say you're going into like the other day i was going into a marketing analytics meeting stopped into the meeting
575800	583560	now quick story time this is sort of a direct implementation of how i think with my teams and i how i tell my teams to actually think
583560	611560	i was walking by one of the meetings for our marketing team our marketing team was going over analytics and just normal going through uh you know kpis customer acquisition costs impressions and different things like that uh when i stuck my head in there the very first thing that i asked out of the three people that were on the team and everybody that's in there the very first question i asked is hey has anybody run all of our analyst
