start	end	text
0	6240	So the next thing that you want to think through is what do you want to do with it?
6560	11360	When you're in here in this text classifier, you're going to grab this subject, you're going to grab this email,
11680	17600	and the category that you're doing, you want to really put some thought into it.
18140	21000	Do you want to just label an email?
21000	29760	Do you want to grab the body of this, as in this snippet, and you have the LLM take a look at this, synthesize it,
29760	31540	and then you want to create a draft?
31860	35020	Do you want it to immediately forward to somewhere else?
35320	40960	Do you want it to just create a message without you being the human in the loop and just send it off?
41160	44320	You have a lot of things that you can actually do.
44720	50980	In this case, what I'm going to do is connect a Gmail node,
52120	59280	and what we are going to do is we are going to add a label to the message.
59760	64360	So the very first thing that we want to do, again, this left side is input.
64860	72880	We want to take the input from this previous, which is, in this case, message ID.
73860	78860	This message ID is the identifier of the original message.
79320	83560	As you can see here, this was the very first node that was triggered, which is a Gmail trigger.
83560	86440	It populates all of this information.
87040	92480	And in order to go through here, the filtration system, and then come out on the other end,
92580	94380	you have to be able to identify it.
95120	97640	Every single one of these is going to have a unique identifier.
97820	101540	This ID is going to be that identifier.
101540	109020	And then when you're connected to your Gmail account, this is going to be something that you have to have already set up.
109340	115820	So in my Gmail account, as you can see, I have different things for different reasons.
116240	120400	So my lead generation, my emails that I have through instantly, it will actually go here.
120900	122980	These are my different avatars for that.
122980	130640	And then my school community, as a test with all of the workflow that you previously seen me go through,
131000	132000	I set all of this up.
132060	139200	I'm actually going to be deleting a lot of this after this demo that is kind of teaching you guys how to go through this
139200	140080	because I don't really need it.
140160	141540	I've already had it set up.
142100	151620	So if you don't have this set up, these are just going to be default categories that you're going to see from your Gmail.
151620	154300	In this case, I created the school personal.
154540	160880	I actually want to label it personal because it came through or it's going to come through.
161000	162040	So we'll execute it.
162340	163680	Should label this as personal.
166020	168080	Or sorry, this one's not going to be labeled as personal.
168420	169780	This one's going to be labeled as other.
174260	177020	So we will create the other.
178540	178860	Gmail.
181620	182760	Add label to message.
183840	188780	Again, drag this ID over here so that you're identifying the proper email.
189580	193920	And then I'm going to label this other stuff.
195680	196620	Execute setup.
199120	199640	Bang.
199640	208960	And then simply because of the way that Gmail is structured, old emails, older email service providers used to have folders.
209500	211540	Gmail is basically a catch-all.
212240	213600	It doesn't actually have folders.
213760	215720	You use labels as folders.
216120	220300	And every single email that comes through is given the inbox label.
220300	226660	So what I am going to start doing now, I actually haven't done it before because I wanted to keep duplicates.
227160	228820	And then it just started getting too cluttered.
229100	232300	But you want to go ahead and remove.
232300	235820	So go through your actions.
236000	236800	Go down here.
237180	238200	Look at what you want to do.
238220	240780	In this case, I want to remove the label.
241780	246700	So again, make sure you're always grabbing it from the original node.
248040	248860	Message ID.
248860	253280	We are going to remove inbox.
256500	257380	Execute setup.
258080	265720	Now, what it did, it grabbed that last email that came through.
266620	272680	In this case, I actually had to put unread emails only, as you saw when I was previously doing it.
272900	274620	I didn't have a filter there.
276960	278360	Went through the text classifier.
278860	281580	Which, as you can see, Gemini worked through it.
282460	284560	Kicked it out into other stuff.
285160	288600	And then it added that label.
290100	292280	And then it removed that label.
292660	293360	And then it's done.
295000	301120	So, now, anything that I add, I can actually just add to here.
301120	311960	This is what's great about a proper orchestration flow to where when you create a node, you can actually just connect everything to it.
311960	313740	If they're all doing the same operation.
313740	315960	If they're doing different operations.
316180	318540	Obviously, you want to create its own instance and do that.
318540	322140	So, we are going to set up another one.
322140	325020	So, let's do add category.
325020	327900	Which are opportunity.
327900	328900	To do add category.
328900	328900	
328900	328900	
328900	329900	To add category.
329900	330900	To add category.
330900	330900	
330900	331900	To add category.
331900	332900	To add category.
332900	332900	
332900	333900	To add category.
333900	333900	
333900	334900	To add category.
334900	334900	
334900	335900	To add category.
335900	336900	To add category.
336900	336900	
336900	337900	To add category.
337900	338900	To create agents as well.
338900	338900	
338900	339900	To add category.
339900	340900	To add category.
340900	341900	To add category.
341900	342900	To add category.
342900	343900	To add category.
343900	344900	To add category.
344900	345900	To add category.
345900	346900	To add category.
346900	347900	To add category.
347900	348900	To add category.
348900	349900	To add category.
349900	350900	To add category.
350900	351900	To add category.
351900	352900	To add category.
352900	353900	To add category.
353900	354900	To add category.
354900	355900	To add category.
355900	356900	To add category.
356900	357900	To add category.
357900	358900	To add category.
358900	359900	To add category.
359900	360900	To add category.
360900	361900	To add category.
361900	362900	To add category.
362900	363900	To add category.
363900	364900	To add category.
364900	365900	To add category.
365900	366900	To add category.
366900	366900	
366900	367900	To add category.
367900	368900	To add category.
368900	369900	To add category.
369900	370900	To add category.
370900	371900	To add category.
371900	372900	To add category.
372900	373900	To add category.
373900	374900	To add category.
374900	375900	To add category.
375900	376900	To add category.
376900	377900	To add category.
377900	378900	To add category.
378900	379900	To add category.
379900	380900	To add category.
380900	381900	To add category.
381900	382900	To add category.
382900	383900	To add category.
383900	384900	To add category.
384900	385900	To add category.
385900	386900	To add category.
386900	387900	To add category.
387900	388900	To add category.
388900	389900	To add category.
389900	390900	To add category.
390900	391900	To add category.
391900	392900	To add category.
392900	393900	To add category.
393900	394900	To add category.
394900	395900	To add category.
395900	396900	To add category.
396900	396900	
396900	396900	
396900	396900	
396900	397900	To add category.
397900	398900	To add category.
398900	399900	To add category.
399900	400900	To add category.
400900	401900	To add category.
401900	402900	To add category.
402900	403900	To add category.
403900	404900	To add category.
404900	405900	To add category.
405900	406900	To add category.
406900	407900	To add category.
407900	408900	To add category.
408900	409900	To add category.
409900	410900	To add category.
410900	411900	To add category.
411900	412900	To add category.
412900	413900	To add category.
413900	414900	To add category.
414900	415900	To add category.
415900	416900	To add category.
416900	417900	To add category.
417900	418900	To add category.
418900	419900	To add category.
419900	420900	To add category.
420900	421900	To add category.
421900	422900	To add category.
422900	423900	To add category.
423900	424900	To add category.
424900	425900	To add category.
425900	426900	To add category.
426900	427900	To add category.
427900	428900	To add category.
428900	429900	To add category.
429900	430900	To add category.
430900	431900	To add category.
431900	432900	To add category.
432900	433900	To add category.
433900	433900	
433900	434900	To add category.
434900	435900	To add category.
435900	436900	To add category.
436900	437900	To add category.
437900	438900	To add category.
438900	438900	
438900	439900	To add category.
439900	440900	To add category.
440900	441900	To add category.
441900	442900	To add category.
442900	443900	To add category.
443900	444900	To add category.
444900	445900	To add category.
445900	446900	To add category.
446900	447900	To add category.
447900	448900	To add category.
448900	449900	To add category.
449900	450900	To add category.
450900	451900	To add category.
451900	452900	To add category.
452900	453900	To add category.
453900	454900	To add category.
454900	455900	To add category.
455900	456900	To add category.
456900	457900	To add category.
457900	458900	To add category.
458900	459900	To add category.
459900	460900	To add category.
460900	461900	To add category.
461900	462900	To add category.
462900	463900	To add category.
463900	464900	And then you can actually.
464900	465900	Even give it tools.
465900	466900	Like.
466900	467900	If you want to give it.
467900	468900	A research tool.
468900	469900	Like perplexity.
469900	470900	Or something.
470900	471900	This is.
471900	472900	A scraper.
472900	473900	So.
473900	474900	You can have.
474900	475900	An email.
475900	476900	Come through.
476900	477900	Get classified.
477900	478900	Like if it's an opportunity.
478900	479900	And then.
479900	481900	It'll be connected to.
481900	483900	A large language model.
483900	484900	And then.
484900	485900	It can go out.
485900	486900	On.
486900	487900	In the web.
487900	488900	And if you want to put.
488900	489900	Other.
489900	490900	Information.
490900	491900	That's front.
491900	492900	In here.
492900	493900	To.
493900	494900	To.
494900	495900	To.
495900	496900	To.
496900	497900	To.
497900	498900	To.
498900	499900	To.
499900	499900	
499900	500900	To.
500900	500900	
500900	501900	To.
501900	501900	
501900	502900	To.
502900	502900	
502900	503900	To.
503900	503900	
503900	503900	
503900	504900	To.
504900	504900	
504900	504900	
504900	505900	To.
505900	505900	
505900	506900	To.
506900	506900	
506900	506900	
506900	507900	To.
507900	507900	
507900	507900	
507900	508900	To.
508900	508900	
508900	508900	
508900	509900	To.
509900	509900	
509900	510900	To.
510900	511900	To.
511900	511900	
511900	511900	
511900	512900	To.
512900	512900	
512900	513900	To.
513900	513900	
513900	514900	To.
514900	515900	To.
515900	515900	
515900	515900	
515900	516900	To.
516900	516900	
516900	517900	To.
517900	517900	
517900	517900	
517900	517900	
517900	518900	To.
518900	519900	To.
519900	519900	
519900	519900	
519900	520900	To.
520900	521900	To.
521900	521900	
521900	522900	To.
522900	522900	
522900	523900	To.
523900	524900	To.
524900	524900	
524900	525900	To.
525900	525900	
525900	526900	To.
526900	526900	
526900	527900	To.
527900	528900	To.
528900	529900	To.
529900	530900	To.
530900	530900	
530900	531900	To.
531900	532900	To.
532900	533900	To.
533900	533900	
533900	534900	To.
534900	534900	
534900	535900	To.
535900	535900	
535900	536900	To.
536900	537900	To.
537900	538900	To.
538900	538900	
538900	539900	To.
539900	540900	To.
540900	540900	
540900	541900	To.
541900	542900	To.
542900	542900	
542900	543900	To.
543900	543900	
543900	544900	To.
544900	544900	
544900	544900	
544900	545900	To.
545900	545900	
545900	546900	To.
546900	546900	
546900	546900	
546900	546900	
546900	547900	To.
547900	548900	To.
548900	549900	To.
549900	550900	To.
550900	551900	To.
551900	552900	To.
552900	552900	
552900	553900	To.
553900	553900	
553900	554900	To.
554900	555900	To.
555900	555900	
555900	556900	To.
556900	556900	
556900	557900	To.
557900	557900	
557900	558900	To.
558900	558900	
558900	558900	
558900	558900	
558900	559900	To.
559900	559900	
559900	560900	To.
560900	560900	
560900	560900	
560900	561900	To.
561900	561900	
561900	562900	To.
562900	562900	
562900	563900	To.
563900	564900	To.
564900	564900	
564900	565900	To.
565900	566900	To.
566900	566900	
566900	566900	
566900	567900	To.
567900	567900	
567900	568900	To.
568900	568900	
568900	568900	
568900	569900	To.
569900	570900	To.
570900	570900	
570900	570900	
570900	571900	To.
571900	572900	To.
572900	572900	
572900	572900	
572900	572900	
572900	573900	To.
573900	574900	To.
574900	574900	
574900	574900	
574900	574900	
574900	574900	
574900	575900	To.
575900	576900	To.
576900	577900	To.
577900	578900	To.
578900	579900	To.
579900	580900	To.
580900	581900	To.
581900	582900	To.
582900	583900	To.
583900	584900	To.
584900	585900	To.
585900	585900	
585900	586900	To.
586900	586900	
586900	587900	To.
587900	588900	To.
588900	588900	
588900	589900	To.
589900	590900	To.
590900	590900	
590900	591900	To.
591900	592900	To.
592900	592900	
592900	593900	To.
593900	593900	
593900	594900	To.
594900	594900	
594900	595900	To.
595900	595900	
595900	596900	To.
596900	597900	To.
597900	597900	
597900	598900	To.
598900	598900	
598900	598900	
598900	599900	To.
599900	599900	
599900	600900	To.
600900	600900	
600900	601900	To.
601900	601900	
601900	601900	
601900	601900	
601900	601900	
601900	601900	
601900	601900	
601900	601900	
601900	601900	
601900	601900	
601900	601900	
601900	601900	
601900	601900	
601900	601900	
601900	601900	
601900	601900	
601900	602900	To.
602900	603900	To.
603900	604900	To.
604900	605900	To.
605900	606900	To.
606900	607900	To.
607900	608900	To.
608900	609900	To.
609900	610900	To.
610900	611900	To.
611900	612900	To.
612900	612900	
612900	613900	To.
613900	613900	
613900	614900	To.
614900	615900	To.
615900	615900	
615900	616900	To.
616900	617900	To.
617900	617900	
617900	618900	To.
618900	619900	To.
619900	620900	To.
620900	621900	To.
621900	622900	To.
622900	623900	To.
623900	624900	To.
624900	625900	To.
625900	626900	To.
626900	627900	To.
627900	628900	To.
628900	629900	To.
629900	630900	To.
630900	631900	To.
631900	632900	To.
632900	633900	To.
633900	633900	
633900	634900	To.
634900	635900	To.
635900	636900	To.
636900	637900	To.
637900	638900	To.
638900	639900	To.
639900	640900	To.
640900	641900	To.
641900	642900	To.
642900	643900	To.
643900	644900	To.
644900	645900	To.
645900	645900	
645900	646900	To.
646900	647900	To.
647900	648900	To.
648900	649900	To.
649900	649900	
649900	650900	To.
650900	651900	To.
651900	651900	
651900	651900	
651900	651900	
651900	651900	
651900	651900	
651900	651900	
651900	651900	
651900	651900	
652900	653900	To.
653900	654900	To.
654900	654900	
654900	655900	To.
655900	656900	To.
656900	657900	To.
657900	658900	To.
658900	659900	To.
659900	660900	To.
660900	661900	To.
661900	662900	To.
662900	663900	To.
663900	663900	
663900	663900	
663900	664900	To.
664900	665900	To.
665900	665900	
665900	666900	To.
666900	667900	To.
667900	667900	
667900	667900	
682900	683900	To.
683900	684900	To.
684900	685900	To.
685900	686900	To.
686900	687900	To.
687900	688900	To.
688900	688900	
688900	689900	To.
689900	689900	
689900	690900	To.
690900	690900	
690900	691900	To.
691900	691900	
691900	692900	To.
692900	693900	To.
693900	693900	
693900	694900	To.
694900	694900	
694900	695900	To.
695900	695900	
695900	696900	To.
696900	696900	
696900	696900	
696900	697900	To.
697900	697900	
697900	698900	To.
698900	698900	
698900	698900	
698900	699900	To.
699900	700900	To.
700900	700900	
700900	701900	To.
701900	701900	
701900	701900	
701900	702900	To.
702900	702900	
702900	703900	To.
703900	703900	
703900	704900	To.
704900	705900	To.
705900	705900	
705900	706900	To.
706900	706900	
706900	707900	To.
707900	707900	
707900	707900	
707900	708900	To.
708900	709900	To.
709900	709900	
709900	709900	
709900	710900	To.
710900	711900	To.
711900	711900	
711900	711900	
711900	711900	
711900	712900	To.
712900	713900	To.
713900	714900	To.
714900	715900	To.
715900	716900	To.
716900	717900	To.
717900	718900	To.
718900	719900	To.
719900	719900	
719900	720900	To.
720900	720900	
720900	721900	To.
721900	721900	
721900	722900	To.
722900	722900	
722900	722900	
722900	723900	To.
723900	723900	
723900	724900	To.
724900	725900	To.
725900	725900	
725900	726900	To.
726900	727900	To.
727900	727900	
727900	728900	To.
728900	729900	To.
729900	730900	To.
730900	731900	To.
731900	732900	To.
732900	733900	To.
733900	734900	To.
734900	734900	
734900	735900	To.
735900	735900	
735900	736900	To.
736900	736900	
736900	737900	To.
737900	737900	
737900	738900	To.
738900	738900	
738900	738900	
738900	739900	To.
739900	740900	To.
740900	740900	
740900	740900	
740900	740900	
740900	740900	
740900	740900	
740900	740900	
740900	740900	
740900	740900	
740900	740900	
740900	740900	
740900	740900	
740900	740900	
740900	741900	To.
741900	742900	To.
742900	743900	To.
743900	744900	To.
744900	745900	To.
745900	746900	To.
746900	747900	To.
747900	748900	To.
748900	748900	
748900	749900	To.
749900	749900	
749900	750900	To.
750900	750900	
750900	751900	To.
751900	751900	
751900	752900	To.
752900	752900	
752900	753900	To.
753900	754900	To.
754900	754900	
754900	755900	To.
755900	755900	
755900	756900	To.
756900	756900	
756900	757900	To.
757900	758900	To.
758900	758900	
758900	759900	To.
759900	759900	
