start	end	text
0	5400	Another god and fuck you, my god is more real and so I'm going to kill you.
5760	10100	There is, this is my land, no it's my land, fuck you, I'm going to kill you.
10560	14040	This is, you killed my brother, you killed my brother, fuck you, I'm going to kill you.
14320	19320	Like, these are all the things that are at play, which is why this stuff is so untenable.
19800	26520	There is, I always like to imagine where I would be in China and in beta California.
26520	29560	And my property is on the Chinese side of this.
29940	33140	And would I be like, oh yeah, it's fine, it's got a problem.
33680	35140	And here's the bad answer.
36340	40760	There is a number of years that if they go by, I would be like, yeah, this is a problem.
41120	42480	And I would be more impressive.
42840	48140	I lost my property and I'm telling you right now, at some point it just happened in the world.
48140	53900	And so I mount the most catastrophic military events against China.
54320	56080	Or shut the fuck up and move on.
56520	60540	Now, I can't claim that I'm putting my money where my mouth is on this one.
60700	65220	But my family, my wife's family, I believe, live in Cyprus.
65560	68060	And some of them live in the north of Cyprus.
68220	71820	And they literally thought, oh, I'm going to a refugee camp for the weekend.
72480	75800	Only to 50 years later, they still don't have their property back.
75800	78960	And there are other families that have raised kids in their houses.
79240	80660	And sorry, fuck you, you get nothing.
80660	82920	And it's devastating.
83680	86560	You can still get them to start crying if you bring it up.
86700	90960	Like, this is a real trauma in that family.
91640	93940	And my answer is, you've got to move forward.
94140	94960	And what do they do?
95080	96080	They need to move forward.
96520	98780	So do they still want to see a political solution?
99080	99440	Yes.
99800	102960	But are they willing to spend bloodshed?
102960	103840	Absolutely not.
104360	111120	So, ah, this is all so ugly and so gross and so obvious and predictable from the human being.
111520	116920	That, I, um, I don't know how else to do it.
116920	119720	I would fight like hell of a giant boy today.
120520	125440	And then if enough people die, admittedly I'm going to be like, oh, God, I'm going to let it go.
125760	126680	It's just not going to go.
128060	129060	That's what war does.
129340	132160	And that is specifically what Israel is trying to do.
132300	138120	They are trying to, despite all the international pressure, we are willing to break their will and fight.
138120	148400	And for everybody that says, well, you're just going to create more Hamas, they're like, word, then we will just kill more Hamas.
149480	157040	And so it's like, everybody, yeah, everybody wants their, like, oh, you don't understand, you're just going to create more Hamas.
157040	161280	And I'm like, you just don't understand, but they will just keep killing them because they have fucking had enough.
161980	163180	So, and I'm happy.
163400	166220	You can also talk about should Israel ever come into resistance?
166220	168960	They ran a playbook, man.
169380	170260	They ran a playbook.
170400	172940	And that playbook was import, import, import, import, import.
173560	177260	And you get political and economic power and a combination.
178100	185460	Now, had Palestine been fighting back against that at that time, I would have been like, yeah, motherfuckers, you rolled up in their territory.
185940	187140	They're going to feel some kind of way.
187560	191080	I look at Britain, fighting back against Islamist extremists.
191280	192240	Yep, I get it.
192240	195020	I get what the Mads have dealt with.
195020	196140	It's all right.
196140	196140	
196140	196140	
196140	196640	It's all right.
196640	196640	
196640	197140	It's all right.
197140	197640	It's all right.
197640	197640	
197640	198140	It's all right.
198140	198640	It's all right.
198640	199640	It's all right.
199640	199640	
199640	199640	
199640	200640	It's all right.
200640	201640	It's all right.
201640	201640	
201640	201640	
201640	202640	It's all right.
202640	203640	It's all right.
203640	203640	
203640	204640	It's all right.
204640	205640	It's all right.
205640	205640	
205640	205640	
205640	206640	It's all right.
206640	207640	It's all right.
207640	207640	
207640	208640	It's all right.
208640	209640	It's all right.
209640	209640	
209640	210640	It's all right.
