start	end	text
0	5000	Check, check, microphone, check, check.
5860	7920	Checkity, check, check, check, check, check, check.
11580	14420	Microphone, are you on?
14420	14820	Okay.
30000	31420	Okay.
60000	62000	Okay.
90000	90760	Okay.
90940	94720	So let's talk about the one lie that everybody gets told every single day.
95600	97600	That hustle is the only path to success.
98860	100640	Now, to start off, I want to give you a quote.
100860	104220	It's a book that I've read probably three or four times and I need to read again.
104300	105260	It's called The Topic Habits.
105880	106660	James Clear says,
107220	109260	You don't rise...
109260	110000	God damn it.
110680	111900	Those fucking trucks.
120000	132160	Let's talk about one of the biggest lies people get sold every single day.
132640	134700	That hustle is the only path to success.
134700	151440	Let's talk about one of the biggest lies people get sold every single day.
152000	154180	That hustle is the only path to success.
154740	158580	I read a book a couple of years ago and I still need to read it a couple more times.
158960	160900	It's called The Topic Habits by James Clear.
162420	164360	You don't rise to the level of your goals.
164700	166500	You fall to the level of your systems.
167280	170740	Now, let's kind of try to break that down and see what he means by that.
170900	174640	Overall, when you have a goal, that is an end point.
174980	181240	When you have systems, that actually provides direction to get to that end point.
182040	190200	Now, it may seem like it's a simple idea, but it is monumentous when you actually put the effort to understanding it.
190200	201480	Even just identifying bottlenecks in your workflow or in your business or your 9 to 5 grind, whatever it is that you are doing right now.
201480	209840	Identifying the bottlenecks in your business is just basically the first step in figuring out the very first part of your system.
209980	211440	You're going to have many systems.
211620	212940	You're going to have algorithmic systems.
213080	217200	You're going to have a checklist system, listicles, all kinds of things.
217200	220900	A system doesn't mean AI or automation.
221140	229060	A system is an overall approach to how you think and how you actually tackle whatever problems you're experiencing, whether it's life, business, or otherwise.
229060	235020	With the last module, we went over mapping out workflows.
235020	241040	That gives you kind of the framework to building AI automations and that particular system.
241360	244300	But overall, how does your business run end to end?
244700	247480	Who do you have on your client intake?
247580	248980	Who's on your marketing team?
249060	249840	Do they have a system?
250320	253740	Your sales team and RevOps, what is their system?
254380	257260	Do they all cohesively work together or not?
257260	262860	If not, that's how you first identify bottlenecks and that's how you also create the workflows.
263000	266340	But overall, when you start to think in systems, it actually changes the game.
268780	282920	The number one reason why hustle isn't the only thing that's needed is because you actually need systems to do the hustle.
282920	286420	Hustle just becomes checking emails every day.
286620	291120	Or did I follow with that lead last week that had the potential to make me $10,000 or $15,000?
291660	292740	Or did you forget?
292840	294300	Did you not even send out the proposal?
294640	303200	If you have a system in place and you actually can go step by step and you do it the same way every single time, then hustle doesn't feel like a game of just straight up whack-a-mole.
303200	313720	You actually have these things in place that keep you on task, on point, and make sure that you actually do either come close to or hit and crush your goals.
313880	319020	Without the systems, your goals are pointless and hustle alone isn't going to get you there.
319020	326860	Once you start to do this, clarity comes in.
327020	329260	You start to understand the bigger picture.
329620	337400	If you are a founder or an owner, when you have a system to check whether or not other people have their systems in place,
337600	342620	then everything comes from the top down and you get organized in your organization.
342620	350940	With that clarity, you know what matters.
351040	352060	You know what doesn't matter.
352340	357480	And if you're familiar with the 80-20 principle, 20% of your profits or your revenue comes from 80% of your work.
358360	359240	Did I say that backwards?
360440	360860	Yeah.
361680	365620	And if you understand the Pareto principle, the 80-20, 20-20...
365620	369180	Jesus, I can't even speak now.
372620	373620	Okay.
373620	374620	Okay.
374620	374620	
374620	374620	
374620	375620	Okay.
375620	375620	
375620	375620	
375620	375620	
375620	375620	
375620	375620	
375620	375620	
375620	375620	
375620	375620	
375620	375620	
375620	375620	
375620	376620	Okay.
376620	376620	
376620	377620	Okay.
377620	377620	
377620	377620	
377620	377620	
377620	377620	
377620	378620	Okay.
378620	379620	Okay.
379620	379620	
379620	379620	
379620	380620	Okay.
380620	381620	Okay.
381620	381620	
381620	381620	
381620	382620	Okay.
382620	383620	Okay.
383620	383620	
383620	383620	
383620	384620	Okay.
384620	384620	
384620	384620	
384620	384620	
384620	384620	
384620	384620	
384620	384620	
384620	384620	
384620	384620	
384620	384620	
384620	384620	
384620	384620	
384620	384620	
384620	384620	
384620	384620	
384620	384620	
384620	384620	
384620	384620	
384620	384620	
384620	384620	
384620	384620	
384620	384620	
384620	385620	Okay.
385620	386620	Okay.
386620	387620	Okay.
387620	387620	
387620	388620	Okay.
388620	388620	
388620	388620	
388620	389620	Okay.
389620	390620	Okay.
390620	390620	
390620	390620	
390620	391620	Okay.
391620	392620	Okay.
392620	392620	
392620	392620	
392620	392620	
392620	393620	Okay.
393620	394620	Okay.
394620	394620	
394620	395620	Okay.
395620	396620	Okay.
396620	396620	
396620	397620	Okay.
397620	397620	
397620	398620	Okay.
398620	398620	
398620	399620	Okay.
399620	400620	Okay.
400620	401620	Okay.
401620	402620	Okay.
402620	403620	Okay.
403620	404620	Okay.
404620	405620	Okay.
405620	405620	
405620	406620	Okay.
406620	407620	Okay.
407620	408620	Okay.
408620	409620	Okay.
409620	410620	Okay.
410620	411620	Okay.
411620	412620	Okay.
412620	413620	Okay.
413620	414620	Okay.
414620	415620	Okay.
415620	415620	
415620	416620	Okay.
416620	417620	Okay.
417620	418620	Okay.
418620	418620	
418620	419620	Okay.
419620	420620	Okay.
420620	420620	
420620	421620	Okay.
421620	422620	Okay.
422620	423620	Okay.
423620	424620	Okay.
424620	424620	
424620	425620	Okay.
425620	426620	Okay.
426620	426620	
426620	427620	Okay.
427620	427620	
427620	428620	Okay.
428620	428620	
428620	429620	Okay.
429620	430620	Okay.
430620	431620	Okay.
431620	432620	Okay.
432620	433620	Okay.
433620	433620	
433620	434620	Okay.
434620	435620	Okay.
435620	436620	Okay.
436620	437620	Okay.
437620	437620	
437620	438620	Okay.
438620	439620	Okay.
439620	440620	Okay.
440620	441620	Okay.
441620	442620	Okay.
442620	443620	Okay.
443620	444620	Okay.
444620	445620	Okay.
445620	446620	Okay.
446620	447620	Okay.
447620	448620	Okay.
448620	449620	Okay.
449620	450620	Okay.
450620	451620	Okay.
451620	452620	Okay.
452620	452620	
452620	453620	Okay.
453620	453620	
453620	454620	Okay.
454620	455620	Okay.
455620	455620	
455620	456620	Okay.
456620	457620	Okay.
457620	458620	Okay.
458620	459620	Okay.
459620	460620	Okay.
460620	461620	Okay.
461620	462620	Okay.
462620	462620	
462620	463620	Okay.
463620	464620	Okay.
464620	465620	Okay.
465620	466620	Okay.
466620	466620	
466620	467620	Okay.
467620	468620	Okay.
468620	469620	Okay.
469620	470620	Okay.
470620	471620	Okay.
471620	472620	Okay.
472620	473620	Okay.
473620	474620	Okay.
474620	475620	Okay.
475620	476620	Okay.
476620	477620	Okay.
477620	478620	Okay.
478620	479620	Okay.
479620	480620	Okay.
480620	481620	Okay.
481620	482620	Okay.
482620	482620	
482620	483620	Okay.
483620	484620	Okay.
484620	485620	Okay.
485620	486620	Okay.
486620	487620	Okay.
487620	488620	Okay.
488620	489620	Okay.
489620	490620	Okay.
490620	491620	Okay.
491620	491620	
491620	492620	Okay.
492620	493620	Okay.
493620	494620	Okay.
494620	495620	Okay.
495620	496620	Okay.
496620	497620	Okay.
497620	498620	Okay.
498620	499620	Okay.
499620	500620	Okay.
500620	501620	Okay.
501620	502620	Okay.
502620	503620	Okay.
503620	504620	Okay.
504620	505620	Okay.
505620	506620	Okay.
506620	507620	Okay.
507620	507620	
507620	508620	Okay.
508620	508620	
508620	509620	Okay.
509620	510620	Okay.
510620	510620	
510620	511620	Okay.
511620	511620	
511620	512620	Okay.
512620	512620	
512620	513620	Okay.
513620	513620	
513620	514620	Okay.
514620	514620	
514620	515620	Okay.
515620	516620	Okay.
516620	516620	
516620	517620	Okay.
517620	518620	Okay.
518620	518620	
518620	519620	Okay.
519620	520620	Okay.
520620	520620	
520620	521620	Okay.
521620	522620	Okay.
522620	523620	Okay.
523620	524620	Okay.
524620	524620	
524620	525620	Okay.
525620	526620	Okay.
526620	527620	Okay.
527620	528620	Okay.
528620	529620	Okay.
529620	530620	Okay.
530620	531620	Okay.
531620	532620	Okay.
532620	533620	Okay.
533620	534620	Okay.
534620	535620	Okay.
535620	535620	
535620	536620	Okay.
536620	537620	Okay.
537620	538620	Okay.
538620	539620	Okay.
539620	540620	Okay.
540620	541620	Okay.
541620	542620	Okay.
542620	543620	Okay.
543620	544620	Okay.
544620	545620	Okay.
545620	546620	Okay.
546620	547620	Okay.
547620	548620	Okay.
548620	549620	Okay.
549620	550620	Okay.
550620	551620	Okay.
551620	552620	Okay.
552620	553620	Okay.
553620	554620	Okay.
554620	555620	Okay.
555620	556620	Okay.
556620	557620	Okay.
557620	558620	Okay.
558620	559620	Okay.
559620	560620	Okay.
560620	561620	Okay.
561620	562620	Okay.
562620	563620	Okay.
563620	564620	Okay.
564620	565620	Okay.
565620	566620	Okay.
566620	567620	Okay.
567620	568620	Okay.
568620	569620	Okay.
569620	570620	Okay.
570620	571620	Okay.
571620	572620	Okay.
572620	573620	Okay.
573620	574620	Okay.
574620	575620	Okay.
575620	576620	Okay.
576620	577620	Okay.
577620	578620	Okay.
578620	579620	Okay.
579620	580620	Okay.
580620	581620	Okay.
581620	582620	Okay.
582620	583620	Okay.
583620	584620	Okay.
584620	585620	Okay.
585620	586620	Okay.
586620	587620	Okay.
587620	588620	Okay.
588620	588620	
588620	589620	Okay.
589620	590620	Okay.
590620	591620	Okay.
591620	591620	
591620	592620	Okay.
592620	592620	
592620	593620	Okay.
593620	593620	
593620	594620	Okay.
594620	595620	Okay.
595620	596620	Okay.
596620	597620	Okay.
597620	597620	
597620	598620	Okay.
598620	599620	Okay.
599620	599620	
599620	600620	Okay.
600620	600620	
600620	601620	Okay.
601620	601620	
601620	602620	Okay.
602620	603620	Okay.
603620	604620	Okay.
604620	604620	
604620	605620	Okay.
605620	606620	Okay.
606620	606620	
606620	607620	Okay.
607620	608620	Okay.
608620	608620	
608620	609620	Okay.
609620	609620	
609620	610620	Okay.
610620	610620	
610620	610620	
610620	611620	Okay.
611620	612620	Okay.
612620	612620	
612620	613620	Okay.
613620	614620	Okay.
614620	615620	Okay.
615620	616620	Okay.
616620	617620	Okay.
617620	618620	Okay.
618620	619620	Okay.
619620	620620	Okay.
620620	621620	Okay.
621620	622620	Okay.
622620	622620	
622620	623620	Okay.
623620	624620	Okay.
624620	625620	Okay.
625620	626620	Okay.
626620	627620	Okay.
627620	628620	Okay.
628620	629620	Okay.
629620	630620	Okay.
630620	631620	Okay.
631620	632620	Okay.
632620	633620	Okay.
633620	634620	Okay.
634620	635620	Okay.
635620	636620	Okay.
636620	637620	Okay.
637620	638620	Okay.
638620	639620	Okay.
639620	640620	Okay.
640620	641620	Okay.
641620	642620	Okay.
642620	643620	Okay.
643620	644620	Okay.
644620	645620	Okay.
645620	646620	Okay.
646620	646620	
646620	647620	Okay.
647620	648620	Okay.
648620	649620	Okay.
649620	650620	Okay.
650620	651620	Okay.
651620	651620	
651620	652620	Okay.
652620	653620	Okay.
653620	654620	Okay.
654620	654620	
654620	655620	Okay.
655620	655620	
655620	656620	Okay.
656620	656620	
656620	657620	Okay.
657620	657620	
657620	658620	Okay.
658620	658620	
658620	659620	Okay.
659620	659620	
659620	660620	Okay.
660620	661620	Okay.
661620	662620	Okay.
662620	662620	
662620	663620	Okay.
663620	664620	Okay.
664620	664620	
664620	665620	Okay.
665620	666620	Okay.
666620	667620	Okay.
667620	668620	Okay.
668620	668620	
668620	669620	Okay.
669620	670620	Okay.
670620	671620	Okay.
671620	672620	Okay.
672620	673620	Okay.
673620	674620	Okay.
674620	675620	Okay.
675620	675620	
675620	676620	Okay.
676620	677620	Okay.
677620	678620	Okay.
678620	678620	
678620	679620	Okay.
679620	679620	
679620	680620	Okay.
680620	680620	
680620	681620	Okay.
681620	682620	Okay.
682620	683620	Okay.
683620	683620	
683620	684620	Okay.
684620	684620	
684620	685620	Okay.
685620	685620	
685620	686620	Okay.
686620	686620	
686620	687620	Okay.
687620	687620	
687620	688620	Okay.
688620	688620	
688620	689620	Okay.
689620	690620	Okay.
690620	691620	Okay.
691620	691620	
691620	692620	Okay.
692620	693620	Okay.
693620	693620	
693620	694620	Okay.
694620	695620	Okay.
695620	695620	
695620	696620	Okay.
696620	696620	
696620	697620	Okay.
697620	697620	
697620	697620	
697620	698620	Okay.
698620	699620	Okay.
699620	700620	Okay.
700620	701620	Okay.
701620	702620	Okay.
702620	703620	Okay.
703620	704620	Okay.
704620	705620	Okay.
705620	706620	Okay.
706620	707620	Okay.
707620	708620	Okay.
708620	709620	Okay.
709620	710620	Okay.
710620	711620	Okay.
711620	712620	Okay.
712620	712620	
712620	713620	Okay.
713620	713620	
713620	714620	Okay.
714620	715620	Okay.
715620	715620	
715620	716620	Okay.
716620	716620	
716620	717620	Okay.
717620	717620	
717620	718620	Okay.
718620	719620	Okay.
719620	720620	Okay.
720620	721620	Okay.
721620	722620	Okay.
722620	723620	Okay.
723620	724620	Okay.
724620	725620	Okay.
725620	726620	Okay.
726620	727620	Okay.
727620	728620	Okay.
728620	729620	Okay.
729620	730620	Okay.
730620	731620	Okay.
731620	732620	Okay.
732620	733620	Okay.
733620	734620	Okay.
734620	735620	Okay.
735620	736620	Okay.
736620	737620	Okay.
737620	738620	Okay.
738620	739620	Okay.
739620	740620	Okay.
740620	741620	Okay.
741620	741620	
741620	742620	Okay.
742620	743620	Okay.
743620	743620	
743620	744620	Okay.
744620	745620	Okay.
745620	745620	
745620	746620	Okay.
746620	747620	Okay.
747620	747620	
747620	748620	Okay.
748620	749620	Okay.
749620	749620	
749620	750620	Okay.
750620	751620	Okay.
751620	751620	
751620	752620	Okay.
752620	753620	Okay.
753620	753620	
753620	754620	Okay.
754620	755620	Okay.
755620	755620	
755620	756620	Okay.
756620	757620	Okay.
757620	757620	
757620	758620	Okay.
758620	759620	Okay.
759620	760620	Okay.
760620	761620	Okay.
761620	762620	Okay.
762620	763620	Okay.
763620	764620	Okay.
764620	765620	Okay.
765620	766620	Okay.
766620	767620	Okay.
767620	767620	
767620	768620	Okay.
768620	769620	Okay.
769620	770620	Okay.
770620	771620	Okay.
771620	772620	Okay.
772620	773620	Okay.
773620	773620	
773620	774620	Okay.
774620	774620	
774620	775620	Okay.
775620	775620	
775620	776620	Okay.
776620	777620	Okay.
777620	778620	Okay.
778620	779620	Okay.
779620	780620	Okay.
780620	781620	Okay.
781620	782620	Okay.
782620	782620	
782620	783620	Okay.
783620	784620	Okay.
784620	784620	
784620	785620	Okay.
785620	786620	Okay.
786620	787620	Okay.
787620	788620	Okay.
788620	789620	Okay.
789620	790620	Okay.
790620	791620	Okay.
791620	791620	
791620	792620	Okay.
792620	793620	Okay.
793620	794620	Okay.
794620	795620	Okay.
795620	796620	Okay.
796620	796620	
796620	797620	Okay.
797620	798620	Okay.
798620	799620	Okay.
799620	799620	
799620	800620	Okay.
800620	800620	
800620	800620	
800620	801620	Okay.
801620	801620	
801620	802620	Okay.
802620	802620	
802620	803620	Okay.
803620	803620	
803620	804620	Okay.
804620	804620	
804620	805620	Okay.
805620	805620	
805620	806620	Okay.
806620	807620	Okay.
807620	807620	
807620	808620	Okay.
808620	809620	Okay.
809620	809620	
809620	810620	Okay.
810620	811620	Okay.
811620	811620	
811620	812620	Okay.
812620	812620	
812620	813620	Okay.
813620	813620	
813620	814620	Okay.
814620	815620	Okay.
815620	816620	Okay.
816620	817620	Okay.
817620	818620	Okay.
818620	819620	Okay.
819620	819620	
819620	820620	Okay.
820620	821620	Okay.
821620	822620	Okay.
822620	823620	Okay.
823620	823620	
823620	824620	Okay.
824620	824620	
824620	825620	Okay.
825620	826620	Okay.
826620	827620	Okay.
827620	827620	
827620	828620	Okay.
828620	828620	
828620	829620	Okay.
829620	830620	Okay.
830620	830620	
830620	831620	Okay.
831620	831620	
831620	832620	Okay.
832620	832620	
832620	833620	Okay.
